 0             37814 
C              0             37814
H             0.0           0.0
H             1.0           1.593
H             2.0           1.593
H             3.0           10.626
H             4.0           8.774
H             5.0           8.003
H             6.0           6.501
H             7.0           5.549
H             8.0           4.502
H             9.0           3.921
H             10.0          3.208
H             11.0          3.103
H             12.0          2.595
H             13.0          2.377
H             14.0          2.4
H             15.0          2.845
H             16.0          3.586
H             17.0          4.121
H             18.0          5.047
H             19.0          4.802
H             20.0          4.772
H             21.0          4.237
H             22.0          4.295
H             23.0          3.921
H             24.0          3.422
H             25.0          2.82
H             26.0          2.521
H             27.0          2.305
H             28.0          1.613
H             29.0          1.677
H             30.0          1.12
H             31.0          0.906
H             32.0          0.708
H             33.0          0.471
H             34.0          0.304
H             35.0          0.137
H             36.0          0.137
H             37.0          0.137
H             38.0          0.137
H             39.0          0.137
H             40.0          0.155
H             41.0          1.53
H             42.0          8.774
H             43.0          16.677
H             44.0          19.64
H             45.0          20.133
H             46.0          17.994
H             47.0          6.266
H             48.0          6.266
H             49.0          10.666
H             50.0          9.646
H             51.0          8.257
H             52.0          7.823
H             53.0          7.326
H             54.0          6.433
H             55.0          5.904
H             56.0          5.202
H             57.0          4.863
H             58.0          4.893
H             59.0          5.486
H             60.0          6.534
H             61.0          6.636
H             62.0          6.433
H             63.0          6.002
H             64.0          6.068
H             65.0          6.806
H             66.0          8.477
H             67.0          10.507
H             68.0          10.507
H             69.0          16.491
H             70.0          19.886
H             71.0          25.611
H             72.0          33.565
H             73.0          45.976
H             74.0          59.084
H             75.0          69.76
H             76.0          81.344
H             77.0          96.888
H             78.0          115.486
H             79.0          137.069
H             80.0          155.78
H             81.0          172.914
H             82.0          186.186
H             83.0          195.039
H             84.0          200.005
H             85.0          200.982
H             86.0          197.301
H             87.0          191.182
H             88.0          181.655
H             89.0          148.668
H             90.0          158.276
H             91.0          147.298
H             92.0          138.406
H             93.0          130.546
H             94.0          121.745
H             95.0          114.229
H             96.0          97.736
H             97.0          90.444
H             98.0          83.347
H             99.0          72.273
H             100.0         67.577
H             101.0         64.973
H             102.0         58.727
H             103.0         56.458
H             104.0         56.811
H             105.0         59.084
H             106.0         60.232
H             107.0         61.388
H             108.0         62.697
H             109.0         62.187
H             110.0         61.243
H             111.0         60.376
H             112.0         59.586
H             113.0         58.228
H             114.0         58.228
H             115.0         58.086
H             116.0         56.458
H             117.0         54.22
