Grid Id,X coordinates,Y coordnates
1,398611.438,493957.969
2,398611.438,493967.969
3,398611.438,493977.969
4,398611.438,493987.969
5,398611.438,493997.969
6,398611.438,494007.969
7,398621.438,493937.969
8,398621.438,493947.969
9,398621.438,493957.969
10,398621.438,493967.969
11,398621.438,493977.969
12,398621.438,493987.969
13,398621.438,493997.969
14,398621.438,494007.969
15,398621.438,494017.969
16,398621.438,494027.969
17,398621.438,494037.969
18,398631.438,493917.969
19,398631.438,493927.969
20,398631.438,493937.969
21,398631.438,493947.969
22,398631.438,493957.969
23,398631.438,493967.969
24,398631.438,493977.969
25,398631.438,493987.969
26,398631.438,493997.969
27,398631.438,494007.969
28,398631.438,494017.969
29,398631.438,494027.969
30,398631.438,494037.969
31,398631.438,494047.969
32,398631.438,494057.969
33,398631.438,494067.969
34,398631.438,494077.969
35,398641.438,493907.969
36,398641.438,493917.969
37,398641.438,493927.969
38,398641.438,493937.969
39,398641.438,493947.969
40,398641.438,493957.969
41,398641.438,493967.969
42,398641.438,493977.969
43,398641.438,493987.969
44,398641.438,493997.969
45,398641.438,494007.969
46,398641.438,494017.969
47,398641.438,494027.969
48,398641.438,494037.969
49,398641.438,494047.969
50,398641.438,494057.969
51,398641.438,494067.969
52,398641.438,494077.969
53,398641.438,494087.969
54,398641.438,494097.969
55,398641.438,494107.969
56,398641.438,494117.969
57,398651.438,493887.969
58,398651.438,493897.969
59,398651.438,493907.969
60,398651.438,493917.969
61,398651.438,493927.969
62,398651.438,493937.969
63,398651.438,493947.969
64,398651.438,493957.969
65,398651.438,493967.969
66,398651.438,493977.969
67,398651.438,493987.969
68,398651.438,493997.969
69,398651.438,494007.969
70,398651.438,494017.969
71,398651.438,494027.969
72,398651.438,494037.969
73,398651.438,494047.969
74,398651.438,494057.969
75,398651.438,494067.969
76,398651.438,494077.969
77,398651.438,494087.969
78,398651.438,494097.969
79,398651.438,494107.969
80,398651.438,494117.969
81,398651.438,494127.969
82,398651.438,494137.969
83,398651.438,494147.969
84,398661.438,493877.969
85,398661.438,493887.969
86,398661.438,493897.969
87,398661.438,493907.969
88,398661.438,493917.969
89,398661.438,493927.969
90,398661.438,493937.969
91,398661.438,493947.969
92,398661.438,493957.969
93,398661.438,493967.969
94,398661.438,493977.969
95,398661.438,493987.969
96,398661.438,493997.969
97,398661.438,494007.969
98,398661.438,494017.969
99,398661.438,494027.969
100,398661.438,494037.969
101,398661.438,494047.969
102,398661.438,494057.969
103,398661.438,494067.969
104,398661.438,494077.969
105,398661.438,494087.969
106,398661.438,494097.969
107,398661.438,494107.969
108,398661.438,494117.969
109,398661.438,494127.969
110,398661.438,494137.969
111,398661.438,494147.969
112,398661.438,494157.969
113,398661.438,494167.969
114,398671.438,493867.969
115,398671.438,493877.969
116,398671.438,493887.969
117,398671.438,493897.969
118,398671.438,493907.969
119,398671.438,493917.969
120,398671.438,493927.969
121,398671.438,493937.969
122,398671.438,493947.969
123,398671.438,493957.969
124,398671.438,493967.969
125,398671.438,493977.969
126,398671.438,493987.969
127,398671.438,493997.969
128,398671.438,494007.969
129,398671.438,494017.969
130,398671.438,494027.969
131,398671.438,494037.969
132,398671.438,494047.969
133,398671.438,494057.969
134,398671.438,494067.969
135,398671.438,494077.969
136,398671.438,494087.969
137,398671.438,494097.969
138,398671.438,494107.969
139,398671.438,494117.969
140,398671.438,494127.969
141,398671.438,494137.969
142,398671.438,494147.969
143,398671.438,494157.969
144,398671.438,494167.969
145,398671.438,494177.969
146,398671.438,494187.969
147,398681.438,493857.969
148,398681.438,493867.969
149,398681.438,493877.969
150,398681.438,493887.969
151,398681.438,493897.969
152,398681.438,493907.969
153,398681.438,493917.969
154,398681.438,493927.969
155,398681.438,493937.969
156,398681.438,493947.969
157,398681.438,493957.969
158,398681.438,493967.969
159,398681.438,493977.969
160,398681.438,493987.969
161,398681.438,493997.969
162,398681.438,494007.969
163,398681.438,494017.969
164,398681.438,494027.969
165,398681.438,494037.969
166,398681.438,494047.969
167,398681.438,494057.969
168,398681.438,494067.969
169,398681.438,494077.969
170,398681.438,494087.969
171,398681.438,494097.969
172,398681.438,494107.969
173,398681.438,494117.969
174,398681.438,494127.969
175,398681.438,494137.969
176,398681.438,494147.969
