Grid Id,X coordinates,Y coordnates
1,399520,490240
2,399520,490250
3,399520,490260
4,399520,490270
5,399520,490280
6,399530,490230
7,399530,490240
8,399530,490250
9,399530,490260
10,399530,490270
11,399530,490280
12,399530,490290
13,399530,490300
14,399530,490310
15,399530,490320
16,399530,490330
17,399540,490230
18,399540,490240
19,399540,490250
20,399540,490260
21,399540,490270
22,399540,490280
23,399540,490290
24,399540,490300
25,399540,490310
26,399540,490320
27,399540,490330
28,399540,490340
29,399540,490350
30,399540,490400
31,399540,490410
32,399540,490420
33,399540,490430
34,399550,490220
35,399550,490230
36,399550,490240
37,399550,490250
38,399550,490260
39,399550,490270
40,399550,490280
41,399550,490290
42,399550,490300
43,399550,490310
44,399550,490320
45,399550,490330
46,399550,490340
47,399550,490350
48,399550,490360
49,399550,490370
50,399550,490380
51,399550,490390
52,399550,490400
53,399550,490410
54,399550,490420
55,399550,490430
56,399550,490440
57,399550,490450
58,399560,490220
59,399560,490230
60,399560,490240
61,399560,490250
62,399560,490260
63,399560,490270
64,399560,490280
65,399560,490290
66,399560,490300
67,399560,490310
68,399560,490320
69,399560,490330
70,399560,490340
71,399560,490350
72,399560,490360
73,399560,490370
74,399560,490380
75,399560,490390
76,399560,490400
77,399560,490410
78,399560,490420
79,399560,490430
80,399560,490440
81,399560,490450
82,399560,490460
83,399560,490470
84,399560,490480
85,399560,490490
86,399560,490500
87,399560,490510
88,399560,490520
89,399560,490530
90,399560,490540
91,399560,490550
92,399560,490560
93,399560,490570
94,399560,490580
95,399560,490590
96,399560,490600
97,399560,490610
98,399570,490210
99,399570,490220
100,399570,490230
101,399570,490240
102,399570,490250
103,399570,490260
104,399570,490270
105,399570,490280
106,399570,490290
107,399570,490300
108,399570,490310
109,399570,490320
110,399570,490330
111,399570,490340
112,399570,490350
113,399570,490360
114,399570,490370
115,399570,490380
116,399570,490390
117,399570,490400
118,399570,490410
119,399570,490420
120,399570,490430
121,399570,490440
122,399570,490450
123,399570,490460
124,399570,490470
125,399570,490480
126,399570,490490
127,399570,490500
128,399570,490510
129,399570,490520
130,399570,490530
131,399570,490540
132,399570,490550
133,399570,490560
134,399570,490570
135,399570,490580
136,399570,490590
137,399570,490600
138,399570,490610
139,399570,490620
140,399570,490630
141,399570,490640
142,399570,490650
143,399570,490660
144,399580,490200
145,399580,490210
146,399580,490220
147,399580,490230
148,399580,490240
149,399580,490250
150,399580,490260
151,399580,490270
152,399580,490280
153,399580,490290
154,399580,490300
155,399580,490310
156,399580,490320
157,399580,490330
158,399580,490340
159,399580,490350
160,399580,490360
161,399580,490370
162,399580,490380
163,399580,490390
164,399580,490400
165,399580,490410
166,399580,490420
167,399580,490430
168,399580,490440
169,399580,490450
170,399580,490460
171,399580,490470
172,399580,490480
173,399580,490490
174,399580,490500
175,399580,490510
176,399580,490520
177,399580,490530
178,399580,490540
179,399580,490550
180,399580,490560
181,399580,490570
182,399580,490580
183,399580,490590
184,399580,490600
185,399580,490610
186,399580,490620
187,399580,490630
188,399580,490640
189,399580,490650
190,399580,490660
191,399580,490670
192,399580,490680
193,399590,490190
194,399590,490200
195,399590,490210
196,399590,490220
197,399590,490230
198,399590,490240
199,399590,490250
200,399590,490260
201,399590,490270
202,399590,490280
203,399590,490290
204,399590,490300
205,399590,490310
206,399590,490320
207,399590,490330
208,399590,490340
209,399590,490350
210,399590,490360
211,399590,490370
212,399590,490380
213,399590,490390
214,399590,490400
215,399590,490410
216,399590,490420
217,399590,490430
218,399590,490440
219,399590,490450
220,399590,490460
221,399590,490470
222,399590,490480
223,399590,490490
224,399590,490500
225,399590,490510
226,399590,490520
227,399590,490530
228,399590,490540
229,399590,490550
230,399590,490560
231,399590,490570
232,399590,490580
233,399590,490590
234,399590,490600
235,399590,490610
236,399590,490620
237,399590,490630
238,399590,490640
239,399590,490650
240,399590,490660
241,399590,490670
242,399590,490680
243,399590,490690
244,399600,489800
245,399600,489810
246,399600,490180
247,399600,490190
248,399600,490200
249,399600,490210
250,399600,490220
251,399600,490230
252,399600,490240
253,399600,490250
254,399600,490260
255,399600,490270
256,399600,490280
257,399600,490290
258,399600,490300
259,399600,490310
260,399600,490320
261,399600,490330
262,399600,490340
263,399600,490350
264,399600,490360
265,399600,490370
266,399600,490380
267,399600,490390
268,399600,490400
269,399600,490410
270,399600,490420
271,399600,490430
272,399600,490440
273,399600,490450
274,399600,490460
275,399600,490470
276,399600,490480
277,399600,490490
278,399600,490500
279,399600,490510
280,399600,490520
281,399600,490530
282,399600,490540
283,399600,490550
284,399600,490560
285,399600,490570
286,399600,490580
287,399600,490590
288,399600,490600
289,399600,490610
290,399600,490620
291,399600,490630
292,399600,490640
293,399600,490650
294,399600,490660
295,399600,490670
296,399600,490680
297,399600,490690
298,399600,490700
299,399600,490710
300,399610,489790
301,399610,489800
302,399610,489810
303,399610,489820
304,399610,490170
305,399610,490180
306,399610,490190
307,399610,490200
308,399610,490210
309,399610,490220
310,399610,490230
311,399610,490240
312,399610,490250
