Grid Id,X coordinates,Y coordnates
1,398996,495481
2,399006,495451
3,399006,495461
4,399006,495471
5,399006,495481
6,399006,495491
7,399016,495451
8,399016,495461
9,399016,495471
10,399016,495481
11,399016,495491
12,399026,495441
13,399026,495451
14,399026,495461
15,399026,495471
16,399026,495481
17,399026,495491
18,399026,495501
19,399036,495431
20,399036,495441
21,399036,495451
22,399036,495461
23,399036,495471
24,399036,495481
25,399036,495491
26,399036,495501
27,399036,495511
28,399046,495421
29,399046,495431
30,399046,495441
31,399046,495451
32,399046,495461
33,399046,495471
34,399046,495481
35,399046,495491
36,399046,495501
37,399046,495511
38,399046,495521
39,399056,495401
40,399056,495411
41,399056,495421
42,399056,495431
43,399056,495441
44,399056,495451
45,399056,495461
46,399056,495471
47,399056,495481
48,399056,495491
49,399056,495501
50,399056,495511
51,399056,495521
52,399066,495381
53,399066,495391
54,399066,495401
55,399066,495411
56,399066,495421
57,399066,495431
58,399066,495441
59,399066,495451
60,399066,495461
61,399066,495471
62,399066,495481
63,399066,495491
64,399066,495501
65,399066,495511
66,399066,495521
67,399066,495531
68,399076,495361
69,399076,495371
70,399076,495381
71,399076,495391
72,399076,495401
73,399076,495411
74,399076,495421
75,399076,495431
76,399076,495441
77,399076,495451
78,399076,495461
79,399076,495471
80,399076,495481
81,399076,495491
82,399076,495501
83,399076,495511
84,399076,495521
85,399076,495531
86,399076,495541
87,399086,495321
88,399086,495331
89,399086,495341
90,399086,495351
91,399086,495361
92,399086,495371
93,399086,495381
94,399086,495391
95,399086,495401
96,399086,495411
97,399086,495421
98,399086,495431
99,399086,495441
100,399086,495451
101,399086,495461
102,399086,495471
103,399086,495481
104,399086,495491
105,399086,495501
106,399086,495511
107,399086,495521
108,399086,495531
109,399086,495541
110,399086,495551
111,399096,495291
112,399096,495301
113,399096,495311
114,399096,495321
115,399096,495331
116,399096,495341
117,399096,495351
118,399096,495361
119,399096,495371
120,399096,495381
121,399096,495391
122,399096,495401
123,399096,495411
124,399096,495421
125,399096,495431
126,399096,495441
127,399096,495451
128,399096,495461
129,399096,495471
130,399096,495481
131,399096,495491
132,399096,495501
133,399096,495511
134,399096,495521
135,399096,495531
136,399096,495541
137,399096,495551
138,399096,495561
139,399106,495281
140,399106,495291
141,399106,495301
142,399106,495311
143,399106,495321
144,399106,495331
145,399106,495341
146,399106,495351
147,399106,495361
148,399106,495371
149,399106,495381
150,399106,495391
151,399106,495401
152,399106,495411
153,399106,495421
154,399106,495431
155,399106,495441
156,399106,495451
157,399106,495461
158,399106,495471
159,399106,495481
160,399106,495491
161,399106,495501
162,399106,495511
163,399106,495521
164,399106,495531
165,399106,495541
166,399106,495551
167,399106,495561
168,399106,495571
169,399116,495271
170,399116,495281
171,399116,495291
172,399116,495301
173,399116,495311
174,399116,495321
175,399116,495331
176,399116,495341
177,399116,495351
178,399116,495361
179,399116,495371
180,399116,495381
181,399116,495391
182,399116,495401
183,399116,495411
184,399116,495421
185,399116,495431
186,399116,495441
187,399116,495451
188,399116,495461
189,399116,495471
190,399116,495481
191,399116,495491
192,399116,495501
193,399116,495511
194,399116,495521
195,399116,495531
196,399116,495541
197,399116,495551
198,399116,495561
199,399116,495571
200,399116,495581
201,399126,494991
202,399126,495001
203,399126,495011
204,399126,495021
205,399126,495031
206,399126,495041
207,399126,495051
208,399126,495061
209,399126,495071
210,399126,495081
211,399126,495091
212,399126,495101
213,399126,495261
214,399126,495271
215,399126,495281
216,399126,495291
217,399126,495301
218,399126,495311
219,399126,495321
220,399126,495331
221,399126,495341
222,399126,495351
223,399126,495361
224,399126,495371
225,399126,495381
226,399126,495391
227,399126,495401
228,399126,495411
229,399126,495421
230,399126,495431
231,399126,495441
232,399126,495451
233,399126,495461
234,399126,495471
235,399126,495481
236,399126,495491
237,399126,495501
238,399126,495511
239,399126,495521
240,399126,495531
241,399126,495541
242,399126,495551
243,399126,495561
244,399126,495571
245,399126,495581
246,399136,494951
247,399136,494961
248,399136,494971
249,399136,494981
250,399136,494991
251,399136,495001
252,399136,495011
253,399136,495021
254,399136,495031
255,399136,495041
256,399136,495051
257,399136,495061
258,399136,495071
259,399136,495081
260,399136,495091
261,399136,495101
262,399136,495111
263,399136,495121
264,399136,495131
265,399136,495141
266,399136,495251
267,399136,495261
268,399136,495271
