Grid Id,X coordinates,Y coordnates
1,398080,488670
2,398080,488680
3,398090,488640
4,398090,488650
5,398090,488660
6,398090,488670
7,398090,488680
8,398090,488690
9,398100,488610
10,398100,488620
11,398100,488630
12,398100,488640
13,398100,488650
14,398100,488660
15,398100,488670
16,398100,488680
17,398100,488690
18,398110,488570
19,398110,488580
20,398110,488590
21,398110,488600
22,398110,488610
23,398110,488620
24,398110,488630
25,398110,488640
26,398110,488650
27,398110,488660
28,398110,488670
29,398110,488680
30,398110,488690
31,398120,488540
32,398120,488550
33,398120,488560
34,398120,488570
35,398120,488580
36,398120,488590
37,398120,488600
38,398120,488610
39,398120,488620
40,398120,488630
41,398120,488640
42,398120,488650
43,398120,488660
44,398120,488670
45,398120,488680
46,398120,488690
47,398120,488700
48,398130,488510
49,398130,488520
50,398130,488530
51,398130,488540
52,398130,488550
53,398130,488560
54,398130,488570
55,398130,488580
56,398130,488590
57,398130,488600
58,398130,488610
59,398130,488620
60,398130,488630
61,398130,488640
62,398130,488650
63,398130,488660
64,398130,488670
65,398130,488680
66,398130,488690
67,398130,488700
68,398140,488470
69,398140,488480
70,398140,488490
71,398140,488500
72,398140,488510
73,398140,488520
74,398140,488530
75,398140,488540
76,398140,488550
77,398140,488560
78,398140,488570
79,398140,488580
80,398140,488590
81,398140,488600
82,398140,488610
83,398140,488620
84,398140,488630
85,398140,488640
86,398140,488650
87,398140,488660
88,398140,488670
89,398140,488680
90,398140,488690
91,398140,488700
92,398150,488440
93,398150,488450
94,398150,488460
95,398150,488470
96,398150,488480
97,398150,488490
98,398150,488500
99,398150,488510
100,398150,488520
101,398150,488530
102,398150,488540
103,398150,488550
104,398150,488560
105,398150,488570
106,398150,488580
107,398150,488590
108,398150,488600
109,398150,488610
110,398150,488620
111,398150,488630
112,398150,488640
113,398150,488650
114,398150,488660
115,398150,488670
116,398150,488680
117,398150,488690
118,398150,488700
119,398160,488410
120,398160,488420
121,398160,488430
122,398160,488440
123,398160,488450
124,398160,488460
125,398160,488470
126,398160,488480
127,398160,488490
128,398160,488500
129,398160,488510
130,398160,488520
131,398160,488530
132,398160,488540
133,398160,488550
134,398160,488560
135,398160,488570
136,398160,488580
137,398160,488590
138,398160,488600
139,398160,488610
140,398160,488620
141,398160,488630
142,398160,488640
143,398160,488650
144,398160,488660
145,398160,488670
146,398160,488680
147,398160,488690
148,398160,488700
149,398160,488710
150,398170,488370
151,398170,488380
152,398170,488390
153,398170,488400
154,398170,488410
155,398170,488420
156,398170,488430
157,398170,488440
158,398170,488450
159,398170,488460
160,398170,488470
161,398170,488480
162,398170,488490
163,398170,488500
164,398170,488510
165,398170,488520
166,398170,488530
167,398170,488540
168,398170,488550
169,398170,488560
170,398170,488570
171,398170,488580
172,398170,488590
173,398170,488600
174,398170,488610
175,398170,488620
176,398170,488630
177,398170,488640
178,398170,488650
179,398170,488660
180,398170,488670
181,398170,488680
182,398170,488690
183,398170,488700
184,398170,488710
185,398180,488340
186,398180,488350
187,398180,488360
188,398180,488370
189,398180,488380
190,398180,488390
191,398180,488400
192,398180,488410
193,398180,488420
194,398180,488430
195,398180,488440
196,398180,488450
197,398180,488460
198,398180,488470
199,398180,488480
200,398180,488490
201,398180,488500
202,398180,488510
203,398180,488520
204,398180,488530
205,398180,488540
206,398180,488550
207,398180,488560
208,398180,488570
209,398180,488580
210,398180,488590
211,398180,488600
212,398180,488610
213,398180,488620
214,398180,488630
215,398180,488640
216,398180,488650
217,398180,488660
218,398180,488670
219,398180,488680
220,398180,488690
221,398180,488700
222,398180,488710
223,398190,488310
224,398190,488320
225,398190,488330
226,398190,488340
227,398190,488350
228,398190,488360
229,398190,488370
230,398190,488380
231,398190,488390
232,398190,488400
233,398190,488410
234,398190,488420
235,398190,488430
236,398190,488440
237,398190,488450
238,398190,488460
239,398190,488470
240,398190,488480
241,398190,488490
242,398190,488500
243,398190,488510
244,398190,488520
245,398190,488530
246,398190,488540
247,398190,488550
248,398190,488560
249,398190,488570
250,398190,488580
251,398190,488590
252,398190,488600
253,398190,488610
254,398190,488620
255,398190,488630
256,398190,488640
257,398190,488650
258,398190,488660
259,398190,488670
260,398190,488680
261,398190,488690
262,398190,488700
263,398190,488710
264,398190,488720
265,398200,488260
266,398200,488270
267,398200,488280
268,398200,488290
269,398200,488300
270,398200,488310
271,398200,488320
272,398200,488330
273,398200,488340
274,398200,488350
275,398200,488360
276,398200,488370
277,398200,488380
278,398200,488390
279,398200,488400
280,398200,488410
281,398200,488420
282,398200,488430
283,398200,488440
284,398200,488450
285,398200,488460
286,398200,488470
287,398200,488480
288,398200,488490
289,398200,488500
290,398200,488510
291,398200,488520
292,398200,488530
293,398200,488540
294,398200,488550
295,398200,488560
296,398200,488570
297,398200,488580
298,398200,488590
299,398200,488600
300,398200,488610
301,398200,488620
302,398200,488630
303,398200,488640
304,398200,488650
305,398200,488660
306,398200,488670
307,398200,488680
308,398200,488690
309,398200,488700
310,398200,488710
311,398200,488720
312,398210,488220
313,398210,488230
314,398210,488240
315,398210,488250
316,398210,488260
317,398210,488270
318,398210,488280
319,398210,488290
320,398210,488300
321,398210,488310
322,398210,488320
323,398210,488330
324,398210,488340
325,398210,488350
326,398210,488360
327,398210,488370
328,398210,488380
329,398210,488390
330,398210,488400
331,398210,488410
332,398210,488420
333,398210,488430
334,398210,488440
335,398210,488450
336,398210,488460
337,398210,488470
338,398210,488480
339,398210,488490
340,398210,488500
341,398210,488510
342,398210,488520
343,398210,488530
344,398210,488540
345,398210,488550
346,398210,488560
347,398210,488570
348,398210,488580
349,398210,488590
350,398210,488600
351,398210,488610
352,398210,488620
353,398210,488630
354,398210,488640
355,398210,488650
356,398210,488660
357,398210,488670
358,398210,488680
359,398210,488690
360,398210,488700
361,398210,488710
362,398210,488720
363,398220,488180
364,398220,488190
365,398220,488200
366,398220,488210
367,398220,488220
368,398220,488230
369,398220,488240
370,398220,488250
371,398220,488260
372,398220,488270
373,398220,488280
374,398220,488290
375,398220,488300
376,398220,488310
377,398220,488320
378,398220,488330
379,398220,488340
380,398220,488350
381,398220,488360
382,398220,488370
383,398220,488380
384,398220,488390
385,398220,488400
386,398220,488410
387,398220,488420
388,398220,488430
389,398220,488440
390,398220,488450
391,398220,488460
392,398220,488470
393,398220,488480
394,398220,488490
395,398220,488500
396,398220,488510
397,398220,488520
398,398220,488530
399,398220,488540
400,398220,488550
401,398220,488560
402,398220,488570
403,398220,488580
404,398220,488590
405,398220,488600
406,398220,488610
407,398220,488620
408,398220,488630
409,398220,488640
410,398220,488650
411,398220,488660
412,398220,488670
413,398220,488680
414,398220,488690
415,398220,488700
416,398220,488710
417,398220,488720
418,398230,488140
419,398230,488150
420,398230,488160
421,398230,488170
422,398230,488180
423,398230,488190
424,398230,488200
425,398230,488210
426,398230,488220
427,398230,488230
428,398230,488240
429,398230,488250
430,398230,488260
431,398230,488270
432,398230,488280
433,398230,488290
434,398230,488300
435,398230,488310
436,398230,488320
437,398230,488330
438,398230,488340
439,398230,488350
440,398230,488360
441,398230,488370
442,398230,488380
443,398230,488390
444,398230,488400
445,398230,488410
446,398230,488420
447,398230,488430
448,398230,488440
449,398230,488450
450,398230,488460
451,398230,488470
452,398230,488480
453,398230,488490
454,398230,488500
455,398230,488510
456,398230,488520
457,398230,488530
458,398230,488540
459,398230,488550
460,398230,488560
461,398230,488570
462,398230,488580
463,398230,488590
464,398230,488600
465,398230,488610
466,398230,488620
467,398230,488630
468,398230,488640
469,398230,488650
470,398230,488660
471,398230,488670
472,398230,488680
473,398230,488690
474,398230,488700
475,398230,488710
476,398230,488720
477,398230,488730
478,398240,488100
479,398240,488110
480,398240,488120
481,398240,488130
482,398240,488140
483,398240,488150
484,398240,488160
485,398240,488170
486,398240,488180
487,398240,488190
488,398240,488200
489,398240,488210
490,398240,488220
491,398240,488230
492,398240,488240
493,398240,488250
494,398240,488260
495,398240,488270
496,398240,488280
497,398240,488290
498,398240,488300
499,398240,488310
500,398240,488320
501,398240,488330
502,398240,488340
503,398240,488350
504,398240,488360
505,398240,488370
506,398240,488380
507,398240,488390
508,398240,488400
509,398240,488410
510,398240,488420
511,398240,488430
512,398240,488440
513,398240,488450
514,398240,488460
515,398240,488470
516,398240,488480
517,398240,488490
518,398240,488500
519,398240,488510
520,398240,488520
521,398240,488530
522,398240,488540
523,398240,488550
524,398240,488560
525,398240,488570
526,398240,488580
527,398240,488590
528,398240,488600
529,398240,488610
530,398240,488620
531,398240,488630
532,398240,488640
533,398240,488650
534,398240,488660
535,398240,488670
536,398240,488680
537,398240,488690
538,398240,488700
539,398240,488710
540,398240,488720
541,398240,488730
542,398250,488060
543,398250,488070
544,398250,488080
545,398250,488090
546,398250,488100
547,398250,488110
548,398250,488120
549,398250,488130
550,398250,488140
551,398250,488150
552,398250,488160
553,398250,488170
554,398250,488180
555,398250,488190
556,398250,488200
557,398250,488210
558,398250,488220
559,398250,488230
560,398250,488240
561,398250,488250
562,398250,488260
563,398250,488270
564,398250,488280
565,398250,488290
566,398250,488300
567,398250,488310
568,398250,488320
569,398250,488330
570,398250,488340
571,398250,488350
572,398250,488360
573,398250,488370
574,398250,488380
575,398250,488390
576,398250,488400
577,398250,488410
578,398250,488420
579,398250,488430
580,398250,488440
581,398250,488450
582,398250,488460
583,398250,488470
584,398250,488480
585,398250,488490
586,398250,488500
587,398250,488510
588,398250,488520
589,398250,488530
590,398250,488540
591,398250,488550
592,398250,488560
593,398250,488570
594,398250,488580
595,398250,488590
596,398250,488600
597,398250,488610
598,398250,488620
599,398250,488630
600,398250,488640
601,398250,488650
602,398250,488660
603,398250,488670
604,398250,488680
605,398250,488690
606,398250,488700
607,398250,488710
608,398250,488720
609,398250,488730
610,398260,488020
611,398260,488030
612,398260,488040
613,398260,488050
614,398260,488060
615,398260,488070
616,398260,488080
617,398260,488090
618,398260,488100
619,398260,488110
620,398260,488120
621,398260,488130
622,398260,488140
623,398260,488150
624,398260,488160
625,398260,488170
626,398260,488180
627,398260,488190
628,398260,488200
629,398260,488210
630,398260,488220
631,398260,488230
632,398260,488240
633,398260,488250
634,398260,488260
635,398260,488270
636,398260,488280
637,398260,488290
638,398260,488300
639,398260,488310
640,398260,488320
641,398260,488330
642,398260,488340
643,398260,488350
644,398260,488360
645,398260,488370
646,398260,488380
647,398260,488390
648,398260,488400
649,398260,488410
650,398260,488420
651,398260,488430
652,398260,488440
653,398260,488450
654,398260,488460
655,398260,488470
656,398260,488480
657,398260,488490
658,398260,488500
659,398260,488510
660,398260,488520
661,398260,488530
662,398260,488540
