Grid Id,X coordinates,Y coordnates
1,399180,491030
2,399190,491030
3,399190,491040
4,399200,491020
5,399200,491030
6,399200,491040
7,399200,491050
8,399210,491020
9,399210,491030
10,399210,491040
11,399210,491050
12,399210,491060
13,399210,491070
14,399220,491010
15,399220,491020
16,399220,491030
17,399220,491040
18,399220,491050
19,399220,491060
20,399220,491070
21,399220,491080
22,399230,491010
23,399230,491020
24,399230,491030
25,399230,491040
26,399230,491050
27,399230,491060
28,399230,491070
29,399230,491080
30,399230,491090
31,399230,491100
32,399230,491110
33,399230,491710
34,399230,491720
35,399230,491730
36,399230,491740
37,399230,491750
38,399230,491760
39,399230,491770
40,399230,491780
41,399230,491790
42,399230,491800
43,399230,491810
44,399230,491820
45,399230,491830
46,399230,491840
47,399230,491850
48,399230,491860
49,399230,491870
50,399230,491880
51,399230,491890
52,399230,491900
53,399230,491910
54,399230,491920
55,399240,491000
56,399240,491010
57,399240,491020
58,399240,491030
59,399240,491040
60,399240,491050
61,399240,491060
62,399240,491070
63,399240,491080
64,399240,491090
65,399240,491100
66,399240,491110
67,399240,491120
68,399240,491130
69,399240,491140
70,399240,491150
71,399240,491160
72,399240,491540
73,399240,491550
74,399240,491560
75,399240,491570
76,399240,491580
77,399240,491590
78,399240,491600
79,399240,491610
80,399240,491620
81,399240,491630
82,399240,491640
83,399240,491650
84,399240,491660
85,399240,491670
86,399240,491680
87,399240,491690
88,399240,491700
89,399240,491710
90,399240,491720
91,399240,491730
92,399240,491740
93,399240,491750
94,399240,491760
95,399240,491770
96,399240,491780
97,399240,491790
98,399240,491800
99,399240,491810
100,399240,491820
101,399240,491830
102,399240,491840
103,399240,491850
104,399240,491860
105,399240,491870
106,399240,491880
107,399240,491890
108,399240,491900
109,399240,491910
110,399240,491920
111,399240,491930
112,399240,491940
113,399250,491000
114,399250,491010
115,399250,491020
116,399250,491030
117,399250,491040
118,399250,491050
119,399250,491060
120,399250,491070
121,399250,491080
122,399250,491090
123,399250,491100
124,399250,491110
125,399250,491120
126,399250,491130
127,399250,491140
128,399250,491150
129,399250,491160
130,399250,491170
131,399250,491180
132,399250,491190
133,399250,491200
134,399250,491210
135,399250,491490
136,399250,491500
137,399250,491510
138,399250,491520
139,399250,491530
140,399250,491540
141,399250,491550
142,399250,491560
143,399250,491570
144,399250,491580
145,399250,491590
146,399250,491600
147,399250,491610
148,399250,491620
149,399250,491630
150,399250,491640
151,399250,491650
152,399250,491660
153,399250,491670
154,399250,491680
155,399250,491690
156,399250,491700
157,399250,491710
158,399250,491720
159,399250,491730
160,399250,491740
161,399250,491750
