Grid Id,X coordinates,Y coordnates
1,401199.31,486817.25
2,401209.31,486807.25
3,401209.31,486817.25
4,401209.31,486827.25
5,401219.31,486787.25
6,401219.31,486797.25
7,401219.31,486807.25
8,401219.31,486817.25
9,401219.31,486827.25
10,401219.31,486837.25
11,401229.31,486767.25
12,401229.31,486777.25
13,401229.31,486787.25
14,401229.31,486797.25
15,401229.31,486807.25
16,401229.31,486817.25
17,401229.31,486827.25
18,401229.31,486837.25
19,401229.31,486847.25
20,401239.31,486757.25
21,401239.31,486767.25
22,401239.31,486777.25
23,401239.31,486787.25
24,401239.31,486797.25
25,401239.31,486807.25
26,401239.31,486817.25
27,401239.31,486827.25
28,401239.31,486837.25
29,401239.31,486847.25
30,401239.31,486857.25
31,401239.31,486867.25
32,401239.31,486877.25
33,401249.31,486747.25
34,401249.31,486757.25
35,401249.31,486767.25
36,401249.31,486777.25
37,401249.31,486787.25
38,401249.31,486797.25
39,401249.31,486807.25
40,401249.31,486817.25
41,401249.31,486827.25
42,401249.31,486837.25
43,401249.31,486847.25
44,401249.31,486857.25
45,401249.31,486867.25
46,401249.31,486877.25
47,401249.31,486887.25
48,401249.31,486897.25
49,401249.31,486907.25
50,401259.31,486737.25
51,401259.31,486747.25
52,401259.31,486757.25
53,401259.31,486767.25
54,401259.31,486777.25
55,401259.31,486787.25
56,401259.31,486797.25
57,401259.31,486807.25
58,401259.31,486817.25
59,401259.31,486827.25
60,401259.31,486837.25
61,401259.31,486847.25
62,401259.31,486857.25
63,401259.31,486867.25
64,401259.31,486877.25
65,401259.31,486887.25
66,401259.31,486897.25
67,401259.31,486907.25
68,401259.31,486917.25
69,401259.31,486927.25
70,401259.31,486937.25
71,401259.31,486947.25
72,401259.31,486957.25
73,401259.31,486967.25
74,401259.31,486997.25
75,401269.31,486707.25
76,401269.31,486717.25
77,401269.31,486727.25
78,401269.31,486737.25
79,401269.31,486747.25
80,401269.31,486757.25
81,401269.31,486767.25
82,401269.31,486777.25
83,401269.31,486787.25
84,401269.31,486797.25
85,401269.31,486807.25
86,401269.31,486817.25
87,401269.31,486827.25
88,401269.31,486837.25
89,401269.31,486847.25
90,401269.31,486857.25
91,401269.31,486867.25
92,401269.31,486877.25
93,401269.31,486887.25
94,401269.31,486897.25
95,401269.31,486907.25
96,401269.31,486917.25
97,401269.31,486927.25
98,401269.31,486937.25
99,401269.31,486947.25
100,401269.31,486957.25
101,401269.31,486967.25
102,401269.31,486977.25
103,401269.31,486987.25
104,401269.31,486997.25
105,401269.31,487007.25
106,401269.31,487017.25
107,401269.31,487027.25
108,401269.31,487037.25
109,401269.31,487047.25
110,401269.31,487057.25
111,401269.31,487067.25
112,401269.31,487077.25
113,401269.31,487087.25
114,401279.31,486537.25
115,401279.31,486547.25
116,401279.31,486557.25
117,401279.31,486567.25
118,401279.31,486577.25
119,401279.31,486587.25
120,401279.31,486597.25
121,401279.31,486607.25
122,401279.31,486617.25
123,401279.31,486627.25
124,401279.31,486637.25
125,401279.31,486647.25
126,401279.31,486657.25
127,401279.31,486667.25
128,401279.31,486677.25
129,401279.31,486687.25
130,401279.31,486697.25
131,401279.31,486707.25
132,401279.31,486717.25
133,401279.31,486727.25
134,401279.31,486737.25
135,401279.31,486747.25
136,401279.31,486757.25
137,401279.31,486767.25
