Grid Id,X coordinates,Y coordnates
1,398471,492970
2,398471,492980
3,398471,492990
4,398471,493000
5,398471,493010
6,398471,493020
7,398471,493030
8,398471,493040
9,398471,493050
10,398471,493060
11,398471,493070
12,398481,492920
13,398481,492930
14,398481,492940
15,398481,492950
16,398481,492960
17,398481,492970
18,398481,492980
19,398481,492990
20,398481,493000
21,398481,493010
22,398481,493020
23,398481,493030
24,398481,493040
25,398481,493050
26,398481,493060
27,398481,493070
28,398481,493080
29,398481,493090
30,398481,493100
31,398481,493110
32,398481,493120
33,398491,492920
34,398491,492930
35,398491,492940
36,398491,492950
37,398491,492960
38,398491,492970
39,398491,492980
40,398491,492990
41,398491,493000
42,398491,493010
43,398491,493020
44,398491,493030
45,398491,493040
46,398491,493050
47,398491,493060
48,398491,493070
49,398491,493080
50,398491,493090
51,398491,493100
52,398491,493110
53,398491,493120
54,398501,492920
55,398501,492930
56,398501,492940
57,398501,492950
58,398501,492960
59,398501,492970
60,398501,492980
61,398501,492990
62,398501,493000
63,398501,493010
64,398501,493020
65,398501,493030
66,398501,493040
67,398501,493050
68,398501,493060
69,398501,493070
70,398501,493080
71,398501,493090
72,398501,493100
73,398501,493110
74,398501,493120
75,398511,492920
76,398511,492930
77,398511,492940
78,398511,492950
79,398511,492960
80,398511,492970
81,398511,492980
82,398511,492990
83,398511,493000
84,398511,493010
85,398511,493020
86,398511,493030
87,398511,493040
88,398511,493050
89,398511,493060
90,398511,493070
91,398511,493080
92,398511,493090
93,398511,493100
94,398511,493110
95,398511,493120
96,398521,492920
97,398521,492930
98,398521,492940
99,398521,492950
100,398521,492960
101,398521,492970
102,398521,492980
103,398521,492990
104,398521,493000
105,398521,493010
106,398521,493020
107,398521,493030
108,398521,493040
109,398521,493050
110,398521,493060
111,398521,493070
112,398521,493080
113,398521,493090
114,398521,493100
115,398521,493110
116,398521,493120
117,398531,492920
118,398531,492930
119,398531,492940
120,398531,492950
121,398531,492960
122,398531,492970
123,398531,492980
124,398531,492990
125,398531,493000
126,398531,493010
127,398531,493020
128,398531,493030
129,398531,493040
130,398531,493050
131,398531,493060
132,398531,493070
133,398531,493080
134,398531,493090
135,398531,493100
136,398531,493110
137,398531,493120
138,398541,492920
139,398541,492930
140,398541,492940
141,398541,492950
142,398541,492960
143,398541,492970
144,398541,492980
145,398541,492990
146,398541,493000
147,398541,493010
148,398541,493020
149,398541,493030
150,398541,493040
151,398541,493050
152,398541,493060
153,398541,493070
154,398541,493080
155,398541,493090
156,398541,493100
157,398541,493110
158,398541,493120
159,398541,493130
160,398541,493140
161,398541,493150
162,398551,492930
163,398551,492940
164,398551,492950
165,398551,492960
166,398551,492970
167,398551,492980
168,398551,492990
169,398551,493000
170,398551,493010
171,398551,493020
172,398551,493030
173,398551,493040
174,398551,493050
175,398551,493060
176,398551,493070
177,398551,493080
178,398551,493090
179,398551,493100
180,398551,493110
181,398551,493120
182,398551,493130
183,398551,493140
184,398551,493150
185,398551,493160
186,398551,493170
187,398561,492930
188,398561,492940
189,398561,492950
190,398561,492960
191,398561,492970
192,398561,492980
193,398561,492990
194,398561,493000
195,398561,493010
196,398561,493020
197,398561,493030
198,398561,493040
199,398561,493050
200,398561,493060
201,398561,493070
202,398561,493080
203,398561,493090
204,398561,493100
205,398561,493110
206,398561,493120
207,398561,493130
208,398561,493140
209,398561,493150
210,398561,493160
211,398561,493170
212,398571,492930
213,398571,492940
214,398571,492950
215,398571,492960
216,398571,492970
217,398571,492980
218,398571,492990
219,398571,493000
220,398571,493010
221,398571,493020
222,398571,493030
223,398571,493040
224,398571,493050
225,398571,493060
226,398571,493070
227,398571,493080
228,398571,493090
229,398571,493100
230,398571,493110
231,398571,493120
232,398571,493130
233,398571,493140
234,398571,493150
235,398571,493160
236,398571,493170
237,398581,492930
238,398581,492940
239,398581,492950
240,398581,492960
241,398581,492970
242,398581,492980
243,398581,492990
244,398581,493000
245,398581,493010
246,398581,493020
247,398581,493030
248,398581,493040
249,398581,493050
250,398581,493060
251,398581,493070
252,398581,493080
253,398581,493090
254,398581,493100
255,398581,493110
256,398581,493120
257,398581,493130
258,398581,493140
259,398581,493150
260,398581,493160
261,398581,493170
262,398591,492940
263,398591,492950
264,398591,492960
265,398591,492970
266,398591,492980
267,398591,492990
268,398591,493000
269,398591,493010
270,398591,493020
271,398591,493030
272,398591,493040
273,398591,493050
274,398591,493060
275,398591,493070
276,398591,493080
277,398591,493090
278,398591,493100
279,398591,493110
280,398591,493120
281,398591,493130
282,398591,493140
283,398591,493150
284,398591,493160
285,398601,492940
286,398601,492950
287,398601,492960
288,398601,492970
289,398601,492980
290,398601,492990
291,398601,493000
292,398601,493010
293,398601,493020
294,398601,493030
295,398601,493040
296,398601,493050
297,398601,493060
298,398601,493070
299,398601,493080
300,398601,493090
301,398601,493100
302,398601,493110
303,398601,493120
304,398601,493130
305,398601,493140
306,398601,493150
307,398601,493160
308,398601,493170
309,398611,492940
310,398611,492950
311,398611,492960
312,398611,492970
313,398611,492980
314,398611,492990
315,398611,493000
316,398611,493010
317,398611,493020
318,398611,493030
319,398611,493040
320,398611,493050
321,398611,493060
322,398611,493070
323,398611,493080
324,398611,493090
325,398611,493100
326,398611,493110
327,398611,493120
328,398611,493130
329,398611,493140
330,398611,493150
331,398611,493160
332,398611,493170
333,398611,493180
334,398611,493190
335,398621,492940
336,398621,492950
337,398621,492960
338,398621,492970
339,398621,492980
340,398621,492990
341,398621,493000
342,398621,493010
343,398621,493020
344,398621,493030
345,398621,493040
346,398621,493050
347,398621,493060
348,398621,493070
349,398621,493080
350,398621,493090
351,398621,493100
352,398621,493110
353,398621,493120
354,398621,493130
355,398621,493140
356,398621,493150
357,398621,493160
358,398621,493170
359,398621,493180
360,398621,493190
361,398621,493200
362,398621,493210
363,398631,492950
364,398631,492960
365,398631,492970
366,398631,492980
367,398631,492990
368,398631,493000
369,398631,493010
370,398631,493020
371,398631,493030
372,398631,493040
373,398631,493050
374,398631,493060
375,398631,493070
376,398631,493080
377,398631,493090
378,398631,493100
379,398631,493110
380,398631,493120
381,398631,493130
382,398631,493140
383,398631,493150
384,398631,493160
385,398631,493170
386,398631,493180
387,398631,493190
388,398631,493200
389,398631,493210
390,398631,493220
391,398641,492950
392,398641,492960
393,398641,492970
394,398641,492980
395,398641,492990
396,398641,493000
397,398641,493010
398,398641,493020
399,398641,493030
400,398641,493040
401,398641,493050
402,398641,493060
403,398641,493070
404,398641,493080
405,398641,493090
406,398641,493100
407,398641,493110
408,398641,493120
409,398641,493130
410,398641,493140
411,398641,493150
412,398641,493160
413,398641,493170
414,398641,493180
415,398641,493190
416,398641,493200
417,398641,493210
418,398641,493220
419,398651,492950
420,398651,492960
421,398651,492970
422,398651,492980
423,398651,492990
424,398651,493000
425,398651,493010
426,398651,493020
427,398651,493030
428,398651,493040
429,398651,493050
430,398651,493060
431,398651,493070
432,398651,493080
433,398651,493090
434,398651,493100
435,398651,493110
436,398651,493120
437,398651,493130
438,398651,493140
439,398651,493150
440,398651,493160
441,398651,493170
442,398651,493180
443,398651,493190
444,398651,493200
445,398651,493210
446,398651,493220
447,398661,492960
448,398661,492970
449,398661,492980
450,398661,492990
451,398661,493000
452,398661,493010
453,398661,493020
454,398661,493030
455,398661,493040
456,398661,493050
457,398661,493060
458,398661,493070
459,398661,493080
460,398661,493090
461,398661,493100
462,398661,493110
463,398661,493120
464,398661,493130
465,398661,493140
466,398661,493150
467,398661,493160
468,398661,493170
469,398661,493180
470,398661,493190
471,398661,493200
472,398661,493210
473,398661,493220
474,398671,492970
475,398671,492980
476,398671,492990
477,398671,493000
478,398671,493010
479,398671,493020
480,398671,493030
481,398671,493040
482,398671,493050
483,398671,493060
484,398671,493070
485,398671,493080
486,398671,493090
487,398671,493100
488,398671,493110
489,398671,493120
490,398671,493130
491,398671,493140
492,398671,493150
