Grid Id,X coordinates,Y coordnates
1,400012.563,490956.969
2,400022.563,490946.969
3,400022.563,490956.969
4,400022.563,490966.969
5,400022.563,490976.969
6,400022.563,490986.969
7,400022.563,490996.969
8,400022.563,491006.969
9,400032.563,490946.969
10,400032.563,490956.969
11,400032.563,490966.969
12,400032.563,490976.969
13,400032.563,490986.969
14,400032.563,490996.969
15,400032.563,491006.969
16,400032.563,491016.969
17,400032.563,491026.969
18,400042.563,490946.969
19,400042.563,490956.969
20,400042.563,490966.969
21,400042.563,490976.969
22,400042.563,490986.969
23,400042.563,490996.969
24,400042.563,491006.969
25,400042.563,491016.969
26,400042.563,491026.969
27,400042.563,491036.969
28,400052.563,490946.969
29,400052.563,490956.969
30,400052.563,490966.969
31,400052.563,490976.969
32,400052.563,490986.969
33,400052.563,490996.969
34,400052.563,491006.969
35,400052.563,491016.969
36,400052.563,491026.969
37,400052.563,491036.969
38,400052.563,491046.969
39,400052.563,491536.969
40,400062.563,490946.969
41,400062.563,490956.969
42,400062.563,490966.969
43,400062.563,490976.969
44,400062.563,490986.969
45,400062.563,490996.969
46,400062.563,491006.969
47,400062.563,491016.969
48,400062.563,491026.969
49,400062.563,491036.969
50,400062.563,491046.969
51,400062.563,491056.969
52,400062.563,491126.969
53,400062.563,491136.969
54,400062.563,491506.969
55,400062.563,491516.969
56,400062.563,491526.969
57,400062.563,491536.969
58,400062.563,491546.969
59,400062.563,491556.969
60,400072.563,490956.969
61,400072.563,490966.969
62,400072.563,490976.969
63,400072.563,490986.969
64,400072.563,490996.969
65,400072.563,491006.969
66,400072.563,491016.969
67,400072.563,491026.969
68,400072.563,491036.969
69,400072.563,491046.969
70,400072.563,491056.969
71,400072.563,491066.969
72,400072.563,491096.969
73,400072.563,491106.969
74,400072.563,491116.969
75,400072.563,491126.969
76,400072.563,491136.969
77,400072.563,491146.969
78,400072.563,491446.969
79,400072.563,491456.969
80,400072.563,491466.969
81,400072.563,491476.969
82,400072.563,491486.969
83,400072.563,491496.969
84,400072.563,491506.969
85,400072.563,491516.969
86,400072.563,491526.969
87,400072.563,491536.969
88,400072.563,491546.969
89,400072.563,491556.969
90,400082.563,490956.969
91,400082.563,490966.969
92,400082.563,490976.969
93,400082.563,490986.969
94,400082.563,490996.969
95,400082.563,491006.969
96,400082.563,491016.969
97,400082.563,491026.969
98,400082.563,491036.969
99,400082.563,491046.969
100,400082.563,491056.969
101,400082.563,491066.969
102,400082.563,491076.969
103,400082.563,491086.969
104,400082.563,491096.969
105,400082.563,491106.969
106,400082.563,491116.969
107,400082.563,491126.969
108,400082.563,491136.969
109,400082.563,491146.969
110,400082.563,491156.969
111,400082.563,491436.969
112,400082.563,491446.969
113,400082.563,491456.969
114,400082.563,491466.969
115,400082.563,491476.969
116,400082.563,491486.969
117,400082.563,491496.969
118,400082.563,491506.969
119,400082.563,491516.969
120,400082.563,491526.969
121,400082.563,491536.969
122,400082.563,491546.969
123,400082.563,491556.969
124,400082.563,491566.969
125,400092.563,490956.969
126,400092.563,490966.969
127,400092.563,490976.969
128,400092.563,490986.969
129,400092.563,490996.969
130,400092.563,491006.969
131,400092.563,491016.969
132,400092.563,491026.969
133,400092.563,491036.969
134,400092.563,491046.969
135,400092.563,491056.969
136,400092.563,491066.969
137,400092.563,491076.969
138,400092.563,491086.969
139,400092.563,491096.969
140,400092.563,491106.969
141,400092.563,491116.969
142,400092.563,491126.969
143,400092.563,491136.969
144,400092.563,491146.969
145,400092.563,491156.969
146,400092.563,491166.969
147,400092.563,491396.969
148,400092.563,491406.969
149,400092.563,491416.969
150,400092.563,491426.969
151,400092.563,491436.969
152,400092.563,491446.969
153,400092.563,491456.969
154,400092.563,491466.969
155,400092.563,491476.969
156,400092.563,491486.969
157,400092.563,491496.969
158,400092.563,491506.969
159,400092.563,491516.969
160,400092.563,491526.969
161,400092.563,491536.969
162,400092.563,491546.969
163,400092.563,491556.969
164,400092.563,491566.969
165,400092.563,491576.969
166,400102.563,490966.969
167,400102.563,490976.969
168,400102.563,490986.969
169,400102.563,490996.969
170,400102.563,491006.969
171,400102.563,491016.969
172,400102.563,491026.969
173,400102.563,491036.969
174,400102.563,491046.969
175,400102.563,491056.969
176,400102.563,491066.969
177,400102.563,491076.969
178,400102.563,491086.969
